,,Mean_Reversion_Sector_Neutral_Smoothed,Momentum_1YR,Overnight_Sentiment_Smoothed,adv_120d,adv_20d,dispersion_120d,dispersion_20d,market_vol_120d,market_vol_20d,return_5d,return_5d_p,sector_code,volatility_120d,volatility_20d,is_Janaury,is_December,weekday,quarter,qtr_yr,month_end,month_start,qtr_end,qtr_start,sector_Healthcare,sector_Technology,sector_Consumer Defensive,sector_Industrials,sector_Utilities,sector_Financial Services,sector_Real Estate,sector_Communication Services,sector_Consumer Cyclical,sector_Energy,sector_Basic Materials,target_p,target,target_1,target_2,target_3,target_4
2013-01-03 00:00:00+00:00,Equity(3 [AAPL]),1.6987460161875558,1.1931107068514721,-1.3679922561323514,1.7283773128553903,1.7283773128553903,0.013269640378682815,0.01117803661838911,0.12966420651031887,0.13758557740149968,1,24,1,1.0502885052906206,1.6178128204301137,True,False,3,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0
2013-01-04 00:00:00+00:00,Equity(3 [AAPL]),1.7135499030388635,1.1485084374364638,-1.0811551701691164,1.7283773128553903,1.7283773128553903,0.013259464296794725,0.01109530387242107,0.12962825658978233,0.137320452486495,1,21,1,1.0590907789411754,1.625410153791665,True,False,4,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.0,0.0,0.0,0.0,0.0,0.0
2013-01-07 00:00:00+00:00,Equity(3 [AAPL]),1.7135499030388635,1.0221353407606069,-0.6398673456102935,1.7283773128553903,1.7283773128553903,0.013232238388932364,0.010887291527182062,0.12970615228831525,0.13831583267759703,0,5,1,1.0811551701691164,1.5150881976519592,True,False,0,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.0,0.0,0.0,0.0,0.0,0.0
2013-01-08 00:00:00+00:00,Equity(3 [AAPL]),1.7209518464645173,0.9700993597764306,-0.5663193748504896,1.7283773128553903,1.7283773128553903,0.013239541825836995,0.010780734821171287,0.12783925674731364,0.13953887772031615,0,0,1,1.073800373093136,1.5150881976519592,True,False,1,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09 00:00:00+00:00,Equity(3 [AAPL]),1.7209518464645173,0.9477982250689264,-0.1397411444436273,1.7283773128553903,1.7283773128553903,0.01326025818225385,0.010964869734617144,0.12776057414484734,0.14078365641148824,0,0,1,1.0885099672450969,1.4783142122720572,True,False,2,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10 00:00:00+00:00,Equity(3 [AAPL]),1.7209518464645173,0.8808948209464139,0.20593431812745075,1.7283773128553903,1.7283773128553903,0.013263863589178184,0.011090060160791091,0.12751169081633443,0.14109072359331995,0,0,1,1.0885099672450969,1.4636046181200963,True,False,3,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11 00:00:00+00:00,Equity(3 [AAPL]),1.7135499030388635,0.9775330713455986,0.6545769397622542,1.7283773128553903,1.7283773128553903,0.013181525059501943,0.011068694100015814,0.12724218371115903,0.14085400095763906,0,7,1,1.110574358473038,1.4562498210441162,True,False,4,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14 00:00:00+00:00,Equity(3 [AAPL]),1.7135499030388635,0.9626656482072625,1.0885099672450969,1.7283773128553903,1.7283773128553903,0.013119458142196087,0.011108861352882578,0.12719795170906342,0.14093684623358393,0,6,1,1.1179291555490185,1.4562498210441162,True,False,0,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3.0,0.0,0.0,0.0,0.0,0.0
2013-01-15 00:00:00+00:00,Equity(3 [AAPL]),1.7135499030388635,0.7842565705472293,1.1620579380049008,1.7283773128553903,1.7283773128553903,0.013044461201169599,0.010885732455654022,0.12551485494183168,0.13855203702402868,0,0,1,1.1694127350808812,1.5445073859558807,True,False,1,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,21.0,1.0,0.0,0.0,0.0,0.0
2013-01-16 00:00:00+00:00,Equity(3 [AAPL]),1.7135499030388635,0.4869081077805073,0.8972852432696069,1.7283773128553903,1.7283773128553903,0.013027160417165165,0.010708807824718872,0.12442722207740556,0.13734553440676833,0,0,1,1.1914771263088222,1.5371525888799003,True,False,2,1,1_2013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12.0,0.0,1.0,0.0,0.0,0.0
